                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1614,                 1.0118,                 1.4562,                  0.633,                0.43275,                0.43387,                0.21209,                 1.9365,                   1.56,                 2.3432,             9.5326e-05,             9.5326e-05,             9.5326e-05
                     78,                 1.1615,                 1.0178,                 1.4639,                0.54089,                0.46992,                 0.4304,                 0.2126,                 1.9687,                  1.571,                 2.3471,             9.1514e-05,             9.1514e-05,             9.1514e-05
                     79,                 1.1588,                 1.0131,                 1.4594,                0.61151,                 0.4665,                0.43449,                0.21334,                 1.9502,                 1.5726,                 2.3445,             8.7703e-05,             8.7703e-05,             8.7703e-05
                     80,                 1.1455,                 1.0044,                 1.4477,                0.54965,                0.43539,                0.44069,                0.21891,                 1.9759,                 1.5558,                  2.356,             8.3891e-05,             8.3891e-05,             8.3891e-05
                     81,                 1.1359,                 0.9897,                 1.4444,                 0.5463,                0.42863,                0.43222,                0.21798,                 1.9648,                 1.5747,                 2.3669,              8.008e-05,              8.008e-05,              8.008e-05
                     82,                 1.1455,                0.99153,                 1.4439,                0.54754,                0.43994,                0.42778,                 0.2169,                 1.9679,                 1.5802,                 2.3796,             7.6268e-05,             7.6268e-05,             7.6268e-05
                     83,                 1.1295,                0.97749,                 1.4358,                0.60365,                0.44998,                0.43625,                0.22035,                 1.9641,                 1.5685,                 2.3485,             7.2457e-05,             7.2457e-05,             7.2457e-05
                     84,                 1.1174,                0.97148,                 1.4185,                0.51949,                0.49179,                0.43166,                0.21209,                 1.9429,                 1.5614,                 2.3446,             6.8646e-05,             6.8646e-05,             6.8646e-05
                     85,                 1.1317,                0.99261,                 1.4381,                0.62425,                0.43394,                0.43249,                0.21283,                 1.9645,                 1.5814,                 2.3803,             6.4834e-05,             6.4834e-05,             6.4834e-05
                     86,                 1.1218,                0.95617,                 1.4252,                0.56077,                 0.4629,                 0.4393,                0.21835,                 1.9676,                 1.5618,                 2.3744,             6.1023e-05,             6.1023e-05,             6.1023e-05
                     87,                 1.1104,                 0.9495,                 1.4157,                0.62804,                0.45714,                0.44059,                0.21796,                 1.9587,                 1.5724,                 2.3616,             5.7211e-05,             5.7211e-05,             5.7211e-05
                     88,                 1.1127,                0.96461,                 1.4211,                0.64088,                0.46193,                0.45549,                0.22483,                 1.9787,                 1.5794,                 2.3853,               5.34e-05,               5.34e-05,               5.34e-05
                     89,                 1.1014,                0.94183,                 1.4093,                0.65921,                0.44794,                0.44409,                  0.215,                 1.9704,                 1.5622,                 2.3806,             4.9588e-05,             4.9588e-05,             4.9588e-05
                     90,                 1.0948,                0.95024,                 1.4077,                0.65292,                0.44196,                0.44803,                0.21823,                 1.9773,                  1.552,                 2.3938,             4.5776e-05,             4.5776e-05,             4.5776e-05
